Model,accuracy,recall,f1_score,roc_auc
RandomForest,0.9545777146912704,0.8743315508021391,0.9108635097493036,0.9830594952078329
DecisionTree,0.9418026969481902,0.9278074866310161,0.8943298969072165,0.9860265054638455
KNN,0.9439318665720369,0.8663101604278075,0.8913342503438789,0.9730695703841483
LogisticRegression,0.9389638041163946,0.9331550802139037,0.8903061224489796,0.9904079154718541
GradientBoosting,0.9403832505322924,0.7754010695187166,0.8734939759036144,0.9882727531065126
